"id","main_id","ra","dec","distance_ly","x","y","z","spectral_type","diameter_solar","diameter_km","temperature","mass"
"360","LSPM J1631+4710","247.86692809961","47.1725521722","54.63","-13.9917","-34.4005","40.0659","M3.5V","0.38","528960.0","3000.0","0.3"
"361","ULAS J101243.53+102101.6","153.182212833333","10.3515337777778","54.63","-47.9608","24.2454","9.8163","T5.5","","","",""
"362","G 122-2A","167.831149103165","43.4173343356517","54.65","-38.804","8.3676","37.5613","M2.5V","0.42","584640.0","3000.0","0.3"
"363","2MASS J19064801+4011089","286.700313074755","40.1857196043806","54.66","11.9998","-39.9966","35.2703","L1","","","",""
"364","LP  920-23","264.99990660438","-27.11857115939","54.66","-4.2403","-48.4658","-24.9159","M1.5","0.46","640320.0","3000.0","0.3"
"365","Wolf 1516","19.5003130894804","16.1723782534795","54.67","49.4948","17.5273","15.2271","DC6","","","",""
"366","LSPM J0025+5422","6.31682407225083","54.3819169564578","54.68","31.6512","3.5037","44.4503","M6.5V","0.26","361920.0","3000.0","0.3"
"367","HD 130992","222.918604975441","-24.3041323092731","54.69","-36.5011","-33.941","-22.5093","K3.5V","0.78","1085760.0","4000.0","0.7"
"368","LP  702-50","348.977111826209","-6.46289712278972","54.69","53.3399","-10.3903","-6.1559","M5.5Ve","0.3","417600.0","3000.0","0.3"
"369","Wolf  920","321.820237266117","-6.84427190119417","54.7","42.6919","-33.5708","-6.5187","M0V","0.5","696000.0","3000.0","0.3"
"370","MCC 356","4.56912601146","10.20278950169","54.7","53.6639","4.2886","9.6892","M1V","0.46","640320.0","3000.0","0.3"
"371","G 121-28","178.24132077933","24.4793343289044","54.7","-49.7596","1.5278","22.6658","dM4.5","","","",""
"372","Ross  164","291.285349458376","28.3538323169194","54.71","17.4778","-44.8622","25.9826","M3.5V","0.38","528960.0","3000.0","0.3"
"373","2MASS J05065012+5236338","76.70885","52.6094083333333","54.72","7.6392","32.3384","43.4758","T4.5","","","",""
"374","LP  834-32","68.90080035156","-25.45960758865","54.72","17.7854","46.0938","-23.5227","M3.5","0.38","528960.0","3000.0","0.3"
"375","G 122-2B","167.832593127988","43.4175075103747","54.73","-38.8609","8.3789","37.6164","M2.5V","0.42","584640.0","3000.0","0.3"
"376","NAME ER 8","198.23530086399","-47.4688646720144","54.74","-35.1454","-11.5792","-40.3385","DC","","","",""
"377","* bet Cas","2.29452157778788","59.1497810980071","54.74","28.0479","1.1238","46.9949","F2III","1.44","2004480.0","6500.0","1.3"
"378","G 129-47","359.433900670213","23.3045791551464","54.77","50.2991","-0.497","21.668","M3V","0.38","528960.0","3000.0","0.3"
"379","2MASS J03111547+0106307","47.81448689309","1.10857542993","54.77","36.773","40.5756","1.0596","M5.5V","0.3","417600.0","3000.0","0.3"
"380","LP  738-14 B","207.012117","-13.735324","54.82","-47.443","-24.1861","-13.0163","T5.5","","","",""
"381","LP  580-33","338.69253586982","4.04379841639","54.82","50.9456","-19.8705","3.8659","M3.0V","0.38","528960.0","3000.0","0.3"
"382","Ross  417","94.8365942915233","-6.65614226721389","54.83","-4.5918","54.2665","-6.3554","M3V","0.38","528960.0","3000.0","0.3"
"383","HD 152391","253.24501048327","-0.0264217766988889","54.83","-15.8064","-52.5023","-0.0253","G8.5Vk:","0.94","1308480.0","5500.0","1.0"
"384","*  39 Tau","61.33440851633","22.00890483322","54.84","24.3895","44.6119","20.5513","G5V","1.0","1392000.0","5500.0","1.0"
"385","LEHPM 2-183","79.4070799533862","-33.8175250750175","54.84","8.3756","44.7854","-30.5212","M8.0V","0.18","250560.0","3000.0","0.3"
"386","G 138-37","247.896072918683","17.563572352755","54.85","-19.6772","-48.4497","16.5517","M4V","0.34","473280.0","3000.0","0.3"
"387","G  80-21","56.8472551726304","-1.97220773092306","54.88","29.9946","45.9192","-1.8887","M3.0V","0.38","528960.0","3000.0","0.3"
