id,main_id,ra,dec,distance_ly,x,y,z,spectral_type,diameter_solar,diameter_km,temperature,mass,luminosity,r,g,b
837,SCR J1845-6357,281.27188853878334,-63.96318058599389,13.06,1.121,-5.624,-11.738,M8.5V,1.087,1512892.0,2180.0,0.467,0.06938,255,145,36
838,BD-15  6290,343.31971909853587,-14.26369557005139,15.24,14.147,-4.239,-3.755,M3.5V,0.581,808569.0,2780.0,0.213,0.00448,255,169,93
839,HD  23065,55.46655585657626,-10.697846589133333,99.23,55.272,80.321,-18.419,G8/K0V,1.067,1484925.0,4840.0,0.456,0.06394,255,224,200
840,* tau Cet,26.01701307163417,-15.93747989102139,11.91,10.293,5.024,-3.271,G8V,1.024,1424851.0,4840.0,0.433,0.05337,255,224,200
841,* gam Vir,190.41511762006294,-1.4494039524575002,39.2,-38.547,-7.085,-0.992,F1-F2V,1.881,2618531.0,6880.0,0.926,0.76485,246,244,255
842,HD  42182,92.39963277857,5.668903918309999,98.49,-4.103,97.92,9.729,G0,1.524,2121996.0,5800.0,0.712,0.30485,255,242,231
843,HD 178428,286.9888344769325,16.85338189003028,68.91,19.271,-63.076,19.98,G4.5V,1.713,2383829.0,5260.0,0.824,0.50717,255,233,214
844,HD  99279A,171.1682759529621,-61.647586629305,39.52,-18.546,2.882,-34.781,K5-V,1.051,1462328.0,3900.0,0.447,0.05979,255,203,161
845,HD 153525,254.42594997096,47.36214280344,58.54,-10.646,-38.195,43.063,K3V,0.708,985593.0,4140.0,0.273,0.01064,255,209,172
846,PM J13182+7322,199.55644916959,73.36870655252,82.5,-22.251,-7.904,79.05,M3.5V,1.464,2038146.0,2780.0,0.677,0.25555,255,169,93
847,HD 154712A,255.8277501202025,59.585355182911115,81.59,-10.113,-40.047,70.36,K4V,0.594,826678.0,4020.0,0.219,0.00493,255,206,166
848,L  645-73,339.60599492795996,-29.35683579701,38.66,31.583,-11.742,-18.953,M3.5V,0.699,973042.0,2780.0,0.269,0.01006,255,169,93
849,LP  649-72,33.55234304937832,-3.9621079538830557,40.74,33.873,22.464,-2.815,M5.5V,0.807,1122854.0,2540.0,0.321,0.01883,255,160,73
850,SCR J2356-0429,359.0850458800999,-4.49208581337,83.23,82.964,-1.325,-6.519,M4.13,0.911,1268013.0,2704.4,0.374,0.03204,255,166,87
851,BD+48  2138B,204.46287594350997,48.13848885716,69.09,-41.964,-19.091,51.452,M1.5V,1.159,1613542.0,3020.0,0.506,0.09196,255,177,111
852,LSPM J1837+2030,279.3825458694258,20.511676239549168,56.58,8.64,-52.286,19.827,M5.5,0.578,805039.0,2540.0,0.212,0.00439,255,160,73
853,L  440-14,34.48839623044416,-35.60540842073694,88.94,59.602,40.946,-51.78,M3,1.411,1963495.0,2840.0,0.646,0.21706,255,171,98
854,Wolf 1225 B,335.8709101257837,32.458961996395836,49.89,38.415,-17.207,26.774,M3.4,1.299,1807657.0,2792.0,0.583,0.15117,255,170,94
855,G  69-16,10.898310601433748,28.44484363231139,68.04,58.751,11.312,32.41,M4V,1.328,1848063.0,2720.0,0.599,0.16652,255,167,89
856,HD  32965,76.62515791553,-11.04304990206,99.78,22.654,95.275,-19.112,K3V,1.356,1887605.0,4140.0,0.615,0.18268,255,209,172
857,Ross  991,191.75413817767247,46.62593645853806,65.88,-44.294,-9.217,47.887,M2.5V,1.489,2072615.0,2900.0,0.692,0.27501,255,173,102
858,BD+67   552,129.10610820693165,67.29493962051723,46.19,-11.245,13.833,42.606,M0.5V,1.204,1675999.0,3140.0,0.53,0.10858,255,181,119
859,* gam Cet,40.825162898112545,3.2358163764959436,79.61,60.145,51.962,4.494,A2Vn+F4V,3.368,4687930.0,8760.0,1.918,9.77495,212,224,255
860,V* AN CrB,233.87566664003998,36.20961778222,99.73,-47.437,-64.995,58.912,K0V,0.87,1210748.0,4500.0,0.353,0.02618,255,217,187
861,HD 118926,205.02971437171416,-4.186105781658888,49.27,-44.522,-20.789,-3.596,K5V,0.96,1335950.0,3900.0,0.399,0.04026,255,203,161
862,SIPS J0620-7120,95.12908971052292,-71.34462571835194,87.7,-2.508,27.941,-83.093,M4.5,1.272,1770976.0,2660.0,0.568,0.1382,255,165,84
